n_samples,strategy,rms_total,rms_x,rms_y,rms_z,mae_total,relative_error,r_squared
6,random,3417.767388057363,3460.856929495524,3117.901436760287,3653.0209006815644,2607.5851172725606,15.98688130822626,0.9739398216403254
6,orbital,28542.870019884464,23895.891790584148,25323.91139225776,35096.61172030479,18783.131135322074,112.85916003079784,-0.8175554133086265
8,random,4098.020557807438,4027.2336385813987,3663.988215908418,4553.888124515114,3088.5706048057373,18.21420630327828,0.9625337138056503
8,orbital,6694.468527599629,6788.804060387171,5580.119091768229,7564.53150911675,5063.154104341472,29.911252078660368,0.9000173624806241
12,random,3816.251123592233,3893.4835098652807,3211.5777646899505,4268.239957489885,2945.1867724592294,17.580887034560373,0.967508761120247
12,orbital,4662.129735575466,4807.1935747014295,4108.114580917645,5022.01608314947,3594.032816128398,21.238912112654624,0.951509005603597
18,random,3489.813145537878,3546.6696252210304,3156.480872144256,3740.8756255225894,2663.6391417160994,16.11943956200285,0.9728295563840058
18,orbital,10280.632875440162,9089.905428587295,10441.791142019038,11198.966648960715,7602.948379419925,41.99966002106278,0.7642063625616755
27,random,3233.411681142189,3402.1941125660496,2775.871976139396,3476.2714640466775,2476.2223179984094,15.108730399548634,0.9766753902238056
27,orbital,56475.29398789328,63176.02124293606,49377.01462374416,56027.468797149726,26908.486718686367,155.81695102620327,-6.115564857358049
40,random,3253.931013178427,3368.7911212148174,2860.0914086439366,3497.9028905043174,2495.0027946174355,15.212363277040058,0.9763784134806953
40,orbital,17692.152273515625,18906.7014760873,15753.555196581543,18259.213952691614,11190.926120458029,60.7412145386988,0.30168122595425206
60,random,3422.6381707952705,3601.6323586034023,2929.067695502862,3686.755068237763,2742.5445668044645,16.12134203363091,0.9738654901243421
60,orbital,27486.48697510805,29669.42120285011,23586.24076737132,28808.602719497158,16774.79694440436,95.76077383730086,-0.6855081389144961
88,random,3211.306304350056,3295.554043841448,2846.8397677986436,3460.099914984517,2409.036195287926,15.044816530786404,0.9769932197354511
88,orbital,11867.409721869744,12345.233276104276,10285.413559729153,12818.413465951719,8468.860021888788,50.82044187774274,0.6858013938684996
129,random,3222.4378495302653,3316.630501252478,2873.296897781318,3449.1222271206425,2438.7678044850213,15.092482878712135,0.9768334437073394
129,orbital,32573.606761182178,32869.72133774652,30615.30439985342,34138.01587643325,18867.661544870225,102.67154000480205,-1.3671407350908575
189,random,3185.862247662201,3303.5407700707797,2793.122841851363,3425.527397941248,2414.274348273647,14.88109811259516,0.9773563534138651
189,orbital,56377.67784233155,55598.14051214616,55719.3736037033,57788.63083240285,27236.978233735364,145.52670958677658,-6.090987961104931
278,random,3185.0316164951623,3293.848140322697,2804.060074651515,3423.607851442597,2402.972267430656,14.877314710950515,0.9773681593647886
278,orbital,12500.569870056554,12943.17879611545,11828.392027374412,12702.598392731752,9184.784686565086,53.601145560061155,0.651380236000273
408,random,3197.702436938044,3292.9273751879346,2840.347647990305,3430.008333210312,2427.874226421328,15.009734148380236,0.9771877313932167
408,orbital,4926.893502364069,4781.583823268634,4669.7440005717,5305.919888303273,3846.5923535243282,21.84290524498488,0.9458449787584088
600,random,3180.8096498480936,3290.1041385582644,2791.429676738151,3425.753231475893,2431.1834967217574,14.917677213015166,0.9774281195525476
600,orbital,9079.405710977935,9033.69810583727,7760.061650823029,10270.373211409384,6831.646711802394,37.04514819112219,0.8160892029599977
880,random,3181.6873756207647,3301.9402975810585,2784.9614087513983,3422.073040063488,2428.4274187955116,14.92576591504391,0.9774156606776828
880,orbital,6710.949554686811,6281.40807799926,5512.649838683755,8078.684056847326,4729.042280616414,28.755745642433787,0.8995244645247267
1292,random,3184.100651235247,3292.607582587733,2807.572627843059,3419.321879856054,2407.780583316825,14.906411392894062,0.9773813877283963
1292,orbital,5090.921245616544,4994.720009356097,4349.0283083185295,5821.611648743985,3776.1661199341092,21.904224630438208,0.9421790612599936
1897,random,3180.3732713468657,3296.0040268170997,2788.102429049323,3421.57342981667,2415.8789761658954,14.879768017585057,0.9774343124460471
1897,orbital,4290.656621414246,4111.076695307914,3679.8210250428942,4978.671344606513,3152.7961392746092,19.470335883015206,0.9589285628213833
2784,random,3180.555608702408,3298.30230366894,2790.92940524544,3417.5600812119715,2427.4717046196574,14.918954031232836,0.9774317248971075
2784,orbital,3644.302122073071,3539.5649359582058,3206.1999246986416,4127.296448988908,2760.0452026703556,16.929841853613187,0.9703707179161148
4087,random,3180.9512891048707,3293.194742183311,2800.3388894071973,3415.892826993212,2418.763761137578,14.92486132469509,0.9774261092872981
4087,orbital,3307.4353945168796,3420.1351737708246,2898.980698096659,3565.9462940302174,2584.8977767127,15.52541860913352,0.9755952074580876
6000,random,3180.4314565759214,3295.069629564861,2794.500728904842,3417.4134315886663,2423.2676834257545,14.91252351852775,0.9774334867557286
6000,orbital,3410.5545283827887,3446.151997065063,3059.3304865911346,3695.9680680649208,2534.2439514079856,15.868144689732794,0.9740497004260498
8806,random,3180.0218797035736,3290.958922215614,2796.7442811688798,3418.39556871625,2422.7301187393964,14.915859157575007,0.9774392986255332
8806,orbital,3238.287076018007,3330.1704267865434,2836.7612051681976,3510.307729177719,2437.093279620262,15.015184632989358,0.9766049986830981
12926,random,3179.683336825264,3292.403692118319,2795.74351707195,3416.8778851941147,2420.1385782026055,14.914299704198978,0.9774441019624368
12926,orbital,3307.15511098734,3440.313828019517,2897.5428347384295,3546.8734217593387,2603.374876252437,15.62450386994329,0.9755993435761016
18973,random,3179.0976866210913,3290.703197923246,2792.270558144987,3419.7198564404684,2426.559128160246,14.918611102979689,0.9774524101166533
18973,orbital,3237.126716669972,3365.175790014633,2827.8725827060875,3480.7609365789713,2490.095538595156,15.110099278824645,0.9766217617088482
27849,random,3179.2189005640453,3292.372851516255,2793.018562512327,3417.8394885030966,2422.1655363615273,14.909309487776975,0.9774506906763294
27849,orbital,3184.3507996271887,3299.9949699493345,2800.0097535814116,3419.100557663816,2439.1335579574097,14.983552706855797,0.9773778336750802
40877,random,3179.200956114209,3292.220864379698,2793.7729631459533,3417.3192078894444,2423.5123169533517,14.915222179250115,0.9774509452255258
40877,orbital,3191.294453169007,3317.5951866765854,2791.8789499186482,3428.127034814071,2458.51611082183,15.026279188071271,0.9772790683338374
60000,random,3179.1046966280655,3291.996162404637,2793.180260684349,3417.7514998027987,2424.472785641591,14.916494588669208,0.9774523106803024
60000,orbital,3185.0286929871295,3305.7426985769266,2793.2662721201273,3420.957770755924,2438.554145300123,14.960595744585719,0.9773682009118408
